StateName,PNGFilename,TransitionText,NewState

Relaxed,assets/relaxed.png,You're hanging out with friends and they all start joking around.,Silly
Relaxed,assets/relaxed.png,You're relaxing at home and your puppy randomly pees on the floor.,Mad
Relaxed,assets/relaxed.png,You're in class and your professor extends the project deadline.,Happy

Surprised,assets/surprised.png,Your partner gets you a big boquet of flowers for Valentine's Days.,Happy
Surprised,assets/surprised.png,Your partner tells their friend they has no plans on Valentine's Day.,Mad
Surprised,assets/surprised,Your partner brings you to Mc Donalds for dinner on Valentine's Day.,Disappointed

Mad,assets/mad.png,You know who you want to express your anger to and they're free.,Relaxed
Mad,assets/mad.png,You know who you want to express your anger to but there not free.,Disappointed
Mad,assets/mad.png,You don't have anyone to express your anger to because you have no friends.,Confused

Silly,assets/silly.png,Everyone is laughing because they thought your joke was funny.,Happy
Silly,assets/silly.png,No one's laughing because your joke wasn't funny to anyone.,Disappointed
Silly,assets/silly.png,You decide to keep telling jokes even if they might not be as funny.,Brave

Confused,assets/confused.png,You're coding and everything works after your first time running it.,Surprised
Confused,assets/confused.png,You're trying to fix a bug in your code and you just mess it up even more.,Disappointed
Confused,assets/confused.png,You're making slow but steady progress on your programming project.,Relaxed

Disappointed,assets/disappointed.png,After trying for weeks your puppy finally understands a new trick.,Happy
Disappointed,assets/disappointed.png,You go out to party with your friends to forget all your problems.,Silly
Disappointed,assets/disappointed.png,The TV show you're watching is boring but then the main character dies.,Surprised

Happy,assets/happy.png,You're at a party drinking with your friends and you get a little giggly.,Silly
Happy,assets/happy.png,After a good time all the guests at your party start heading out.,Relaxed
Happy,assets/happy.png,You're opening gifts at your birthday party an someone gets you something expensive.,Surprised

Brave,assets/brave.png,You decide to tell your crush you like them and they say they like you back.,Happy
Brave,assets/brave.png,You decide to tell your crush you like them and they don't like you back.,Disappointed
Brave,assets/brave.png,You decide to tell your crush you like them and they say they actually like your best friend.,Surprised

